,0
0,0.9999945866131249
1,0.9999919394692904
2,0.9999923523251493
3,0.9999854523022966
4,0.9999940033238337
5,0.961950524914071
6,0.9999946869092103
7,0.9999908273685858
8,0.999993660260146
9,0.9999931260157281
10,0.9999944535933321
11,0.9999414444962105
12,0.9999929856356427
13,0.9999928388949599
14,0.9999941962845134
15,0.9999846526665392
16,0.9999932437744469
17,0.99998945541892
18,0.9999934697016739
19,0.9999938200412962
20,0.9999846299791816
21,0.9999942045321473
22,0.9999940282639499
23,0.9999937710197644
24,0.9999940277540369
25,0.9999914751485016
26,0.9999933070212403
27,0.999988536945968
28,0.9999930933913133
29,0.9999937879213687
